Back,Back
"Delete Post","Delete Post"
"Are you sure you want to do this?","Are you sure you want to do this?"
Save,Save
"Save options","Save options"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Parameter count has to be a number between 5 and 20","Parameter count has to be a number between 5 and 20"
"Post collection must be empty. Current size: %1","Post collection must be empty. Current size: %1"
"Unable to create post","Unable to create post"
"Please provide count parameter. See space:blog:generate -h","Please provide count parameter. See space:blog:generate -h"
"You deleted the post.","You deleted the post."
"We can't find a post to delete.","We can't find a post to delete."
"This post no longer exists.","This post no longer exists."
"Edit Post","Edit Post"
Posts,Posts
"New Post","New Post"
Space,Space
Blog,Blog
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved the post.","You saved the post."
"Something went wrong while saving the post.","Something went wrong while saving the post."
"You duplicated the post.","You duplicated the post."
"The post with the ""%1"" ID doesn't exist.","The post with the ""%1"" ID doesn't exist."
Enabled,Enabled
Disabled,Disabled
Edit,Edit
Delete,Delete
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","All Store Views"
"Date: %1","Date: %1"
"by: %1","by: %1"
More,More
"There are no posts.","There are no posts."
"Post not found.","Post not found."
"Space Blogs","Space Blogs"
"Space Blogs Management","Space Blogs Management"
Blogs,Blogs
"Space Blog","Space Blog"
"Blog Options","Blog Options"
"Enable Blogs","Enable Blogs"
"Please select yes to enable blogs.","Please select yes to enable blogs."
"General Information","General Information"
"Enable Post","Enable Post"
Title,Title
"Store View","Store View"
Author,Author
Content,Content
"This is content for the post. Maximum characters 1000 and html
                        tags not allowed
                    ","This is content for the post. Maximum characters 1000 and html
                        tags not allowed
                    "
"Add New Post","Add New Post"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
Enable,Enable
Disable,Disable
ID,ID
Status,Status
Created,Created
Modified,Modified
